"date","district","group","n"
"2022-03-09","宝山区","isolation",2
"2022-03-09","奉贤区","isolation",1
"2022-03-09","虹口区","screen",3
"2022-03-09","黄浦区","isolation",1
"2022-03-09","嘉定区","isolation",16
"2022-03-09","静安区","isolation",2
"2022-03-09","静安区","screen",1
"2022-03-09","闵行区","isolation",21
"2022-03-09","闵行区","screen",3
"2022-03-09","浦东新区","isolation",7
"2022-03-09","浦东新区","screen",1
"2022-03-09","普陀区","screen",1
"2022-03-09","松江区","isolation",9
"2022-03-09","徐汇区","isolation",6
"2022-03-09","杨浦区","screen",1
"2022-03-09","长宁区","screen",1
"2022-03-10","宝山区","isolation",10
"2022-03-10","虹口区","isolation",4
"2022-03-10","黄浦区","isolation",1
"2022-03-10","嘉定区","isolation",5
"2022-03-10","静安区","isolation",1
"2022-03-10","静安区","screen",1
"2022-03-10","闵行区","isolation",12
"2022-03-10","浦东新区","isolation",5
"2022-03-10","浦东新区","screen",1
"2022-03-10","普陀区","isolation",4
"2022-03-10","青浦区","isolation",4
"2022-03-10","松江区","isolation",8
"2022-03-10","徐汇区","isolation",6
"2022-03-10","徐汇区","screen",1
"2022-03-10","长宁区","isolation",1
"2022-03-11","宝山区","isolation",6
"2022-03-11","宝山区","screen",1
"2022-03-11","奉贤区","screen",1
"2022-03-11","虹口区","isolation",2
"2022-03-11","黄浦区","isolation",3
"2022-03-11","黄浦区","screen",2
"2022-03-11","嘉定区","isolation",11
"2022-03-11","金山区","screen",4
"2022-03-11","静安区","isolation",3
"2022-03-11","静安区","screen",1
"2022-03-11","闵行区","isolation",12
"2022-03-11","闵行区","screen",5
"2022-03-11","浦东新区","isolation",9
"2022-03-11","浦东新区","screen",1
"2022-03-11","青浦区","isolation",1
"2022-03-11","松江区","isolation",4
"2022-03-11","松江区","screen",1
"2022-03-11","徐汇区","isolation",6
"2022-03-11","徐汇区","screen",4
"2022-03-11","长宁区","isolation",1
"2022-03-12","宝山区","isolation",3
"2022-03-12","黄浦区","isolation",3
"2022-03-12","嘉定区","isolation",3
"2022-03-12","金山区","isolation",4
"2022-03-12","静安区","isolation",2
"2022-03-12","闵行区","isolation",10
"2022-03-12","浦东新区","isolation",32
"2022-03-12","浦东新区","screen",2
"2022-03-12","松江区","isolation",1
"2022-03-12","徐汇区","isolation",1
"2022-03-12","长宁区","isolation",1
"2022-03-12","长宁区","screen",2
"2022-03-13","宝山区","isolation",3
"2022-03-13","奉贤区","isolation",1
"2022-03-13","虹口区","isolation",2
"2022-03-13","虹口区","screen",2
"2022-03-13","黄浦区","isolation",7
"2022-03-13","黄浦区","screen",2
"2022-03-13","嘉定区","isolation",13
"2022-03-13","嘉定区","screen",1
"2022-03-13","金山区","isolation",5
"2022-03-13","金山区","screen",1
"2022-03-13","静安区","isolation",3
"2022-03-13","静安区","screen",1
"2022-03-13","闵行区","isolation",15
"2022-03-13","闵行区","screen",5
"2022-03-13","浦东新区","isolation",22
"2022-03-13","浦东新区","screen",12
"2022-03-13","普陀区","isolation",2
"2022-03-13","普陀区","screen",3
"2022-03-13","青浦区","isolation",1
"2022-03-13","青浦区","screen",1
"2022-03-13","松江区","isolation",5
"2022-03-13","松江区","screen",2
"2022-03-13","徐汇区","isolation",8
"2022-03-13","徐汇区","screen",6
"2022-03-13","杨浦区","isolation",1
"2022-03-13","杨浦区","screen",2
"2022-03-13","长宁区","isolation",2
"2022-03-14","宝山区","isolation",1
"2022-03-14","宝山区","screen",1
"2022-03-14","奉贤区","isolation",2
"2022-03-14","奉贤区","screen",1
"2022-03-14","虹口区","isolation",1
"2022-03-14","虹口区","screen",2
"2022-03-14","黄浦区","isolation",18
"2022-03-14","黄浦区","screen",3
"2022-03-14","嘉定区","isolation",21
"2022-03-14","嘉定区","screen",2
"2022-03-14","金山区","isolation",3
"2022-03-14","金山区","screen",1
"2022-03-14","静安区","isolation",5
"2022-03-14","静安区","screen",1
"2022-03-14","闵行区","isolation",19
"2022-03-14","闵行区","screen",5
"2022-03-14","浦东新区","isolation",13
"2022-03-14","浦东新区","screen",9
"2022-03-14","松江区","isolation",9
"2022-03-14","徐汇区","isolation",10
"2022-03-14","徐汇区","screen",1
"2022-03-14","杨浦区","screen",1
"2022-03-14","长宁区","isolation",1
"2022-03-15","宝山区","isolation",7
"2022-03-15","宝山区","screen",4
"2022-03-15","奉贤区","isolation",4
"2022-03-15","虹口区","isolation",5
"2022-03-15","虹口区","screen",1
"2022-03-15","黄浦区","isolation",10
"2022-03-15","黄浦区","screen",2
"2022-03-15","嘉定区","isolation",14
"2022-03-15","嘉定区","screen",7
"2022-03-15","金山区","isolation",7
"2022-03-15","金山区","screen",1
"2022-03-15","静安区","isolation",9
"2022-03-15","静安区","screen",1
"2022-03-15","闵行区","isolation",17
"2022-03-15","闵行区","screen",13
"2022-03-15","浦东新区","isolation",31
"2022-03-15","浦东新区","screen",9
"2022-03-15","普陀区","isolation",5
"2022-03-15","普陀区","screen",4
"2022-03-15","青浦区","isolation",3
"2022-03-15","青浦区","screen",3
"2022-03-15","松江区","isolation",6
"2022-03-15","松江区","screen",4
"2022-03-15","徐汇区","isolation",13
"2022-03-15","徐汇区","screen",10
"2022-03-15","杨浦区","isolation",1
"2022-03-15","杨浦区","screen",1
"2022-03-15","长宁区","isolation",3
"2022-03-15","长宁区","screen",1
"2022-03-16","宝山区","isolation",7
"2022-03-16","宝山区","screen",3
"2022-03-16","奉贤区","isolation",2
"2022-03-16","虹口区","isolation",7
"2022-03-16","虹口区","screen",3
