"date","district","group","n"
"2022-03-09","虹口区","isolation",1
"2022-03-09","静安区","isolation",1
"2022-03-09","闵行区","isolation",1
"2022-03-09","浦东新区","screen",1
"2022-03-10","虹口区","isolation",2
"2022-03-10","嘉定区","screen",1
"2022-03-10","闵行区","screen",2
"2022-03-10","浦东新区","isolation",2
"2022-03-10","浦东新区","screen",3
"2022-03-10","青浦区","isolation",1
"2022-03-11","宝山区","isolation",1
"2022-03-11","宝山区","screen",1
"2022-03-11","嘉定区","isolation",1
"2022-03-11","徐汇区","isolation",2
"2022-03-12","闵行区","isolation",1
"2022-03-13","奉贤区","screen",1
"2022-03-13","虹口区","screen",1
"2022-03-13","黄浦区","asym",2
"2022-03-13","黄浦区","screen",1
"2022-03-13","嘉定区","isolation",1
"2022-03-13","嘉定区","screen",4
"2022-03-13","金山区","isolation",1
"2022-03-13","静安区","asym",1
"2022-03-13","静安区","screen",5
"2022-03-13","闵行区","asym",3
"2022-03-13","闵行区","isolation",3
"2022-03-13","闵行区","screen",3
"2022-03-13","浦东新区","asym",1
"2022-03-13","浦东新区","screen",4
"2022-03-13","普陀区","screen",1
"2022-03-13","青浦区","asym",2
"2022-03-13","松江区","screen",1
"2022-03-13","徐汇区","screen",4
"2022-03-13","长宁区","isolation",1
"2022-03-13","长宁区","screen",1
"2022-03-14","虹口区","isolation",1
"2022-03-14","黄浦区","isolation",1
"2022-03-14","黄浦区","screen",1
"2022-03-14","闵行区","isolation",1
"2022-03-14","闵行区","screen",1
"2022-03-14","浦东新区","screen",1
"2022-03-14","松江区","screen",1
"2022-03-14","徐汇区","isolation",2
"2022-03-15","奉贤区","isolation",1
"2022-03-15","闵行区","asym",1
"2022-03-15","浦东新区","isolation",1
"2022-03-15","浦东新区","screen",1
"2022-03-15","徐汇区","isolation",1
"2022-03-16","黄浦区","screen",1
"2022-03-16","嘉定区","screen",4
"2022-03-16","闵行区","isolation",1
"2022-03-16","徐汇区","screen",2
"2022-03-17","宝山区","screen",5
"2022-03-17","虹口区","screen",1
"2022-03-17","黄浦区","isolation",1
"2022-03-17","黄浦区","screen",7
"2022-03-17","嘉定区","screen",5
"2022-03-17","静安区","screen",1
"2022-03-17","闵行区","isolation",1
"2022-03-17","闵行区","screen",3
"2022-03-17","浦东新区","screen",24
"2022-03-17","普陀区","screen",1
"2022-03-17","徐汇区","screen",8
"2022-03-18","宝山区","isolation",1
"2022-03-18","金山区","isolation",1
"2022-03-18","金山区","screen",1
"2022-03-18","闵行区","isolation",1
"2022-03-18","浦东新区","screen",2
"2022-03-18","松江区","isolation",1
"2022-03-18","徐汇区","screen",1
"2022-03-19","宝山区","isolation",1
"2022-03-19","崇明区","isolation",1
"2022-03-19","虹口区","isolation",1
"2022-03-19","嘉定区","asym",2
"2022-03-19","闵行区","asym",4
"2022-03-19","浦东新区","isolation",6
"2022-03-19","浦东新区","screen",2
"2022-03-20","黄浦区","isolation",2
"2022-03-20","嘉定区","isolation",1
"2022-03-20","闵行区","isolation",18
"2022-03-20","浦东新区","isolation",1
"2022-03-20","徐汇区","screen",1
"2022-03-20","长宁区","screen",1
"2022-03-21","崇明区","isolation",1
"2022-03-21","崇明区","screen",1
"2022-03-21","奉贤区","isolation",1
"2022-03-21","嘉定区","isolation",5
"2022-03-21","金山区","isolation",1
"2022-03-21","闵行区","isolation",10
"2022-03-21","浦东新区","isolation",6
"2022-03-21","普陀区","isolation",1
"2022-03-21","松江区","isolation",1
"2022-03-21","徐汇区","isolation",4
"2022-03-22","嘉定区","isolation",2
"2022-03-22","徐汇区","isolation",1
"2022-03-22","徐汇区","screen",1
"2022-03-23","奉贤区","isolation",1
"2022-03-23","嘉定区","isolation",1
"2022-03-23","闵行区","isolation",2
"2022-03-24","宝山区","screen",3
"2022-03-24","嘉定区","screen",1
"2022-03-24","静安区","isolation",1
"2022-03-24","静安区","screen",7
"2022-03-24","浦东新区","isolation",11
"2022-03-24","浦东新区","screen",1
"2022-03-24","普陀区","screen",2
"2022-03-24","徐汇区","screen",2
"2022-03-24","杨浦区","screen",1
"2022-03-25","闵行区","isolation",1
"2022-03-25","闵行区","screen",3
"2022-03-25","浦东新区","isolation",2
"2022-03-25","浦东新区","screen",29
"2022-03-25","普陀区","screen",1
"2022-03-25","松江区","screen",1
"2022-03-25","徐汇区","screen",1
"2022-03-26","徐汇区","isolation",1
"2022-03-26","静安区","isolation",1
"2022-03-26","虹口区","isolation",1
"2022-03-26","杨浦区","isolation",1
"2022-03-26","闵行区","isolation",14
"2022-03-26","宝山区","isolation",1
"2022-03-26","嘉定区","isolation",8
"2022-03-26","浦东新区","screen",1
"2022-03-26","徐汇区","screen",4
"2022-03-26","长宁区","screen",2
"2022-03-26","静安区","screen",2
"2022-03-26","普陀区","screen",1
"2022-03-26","杨浦区","screen",1
"2022-03-26","闵行区","screen",1
"2022-03-26","宝山区","screen",5
"2022-03-26","嘉定区","screen",1
"2022-03-27","浦东新区","isolation",2
"2022-03-27","闵行区","isolation",15
"2022-03-27","浦东新区","screen",2
"2022-03-27","黄浦区","screen",1
"2022-03-27","徐汇区","screen",6
"2022-03-27","静安区","screen",5
"2022-03-27","普陀区","screen",4
"2022-03-27","虹口区","screen",1
"2022-03-27","闵行区","screen",5
"2022-03-27","宝山区","screen",5
"2022-03-27","嘉定区","screen",3
"2022-03-27","松江区","screen",1
"2022-03-28","浦东新区","isolation",6
"2022-03-28","宝山区","isolation",1
"2022-03-28","浦东新区","screen",33
"2022-03-28","徐汇区","screen",5
"2022-03-28","长宁区","screen",7
"2022-03-28","静安区","screen",3
"2022-03-28","普陀区","screen",2
"2022-03-28","虹口区","screen",2
"2022-03-28","闵行区","screen",2
"2022-03-28","宝山区","screen",7
"2022-03-28","嘉定区","screen",2
"2022-03-28","金山区","screen",1
"2022-03-28","松江区","screen",2
"2022-03-28","青浦区","screen",2
"2022-03-28","黄浦区","asym",1
"2022-03-28","徐汇区","asym",1
"2022-03-28","静安区","asym",7
"2022-03-28","普陀区","asym",1
"2022-03-28","虹口区","asym",2
"2022-03-28","闵行区","asym",7
"2022-03-28","松江区","asym",2
"2022-03-29","浦东新区","isolation",4
"2022-03-29","徐汇区","isolation",5
"2022-03-29","长宁区","isolation",1
"2022-03-29","闵行区","isolation",4
"2022-03-29","宝山区","isolation",1
"2022-03-29","松江区","isolation",2
"2022-03-29","浦东新区","screen",162
"2022-03-29","黄浦区","screen",6
"2022-03-29","徐汇区","screen",25
"2022-03-29","长宁区","screen",2
"2022-03-29","静安区","screen",7
"2022-03-29","普陀区","screen",5
"2022-03-29","虹口区","screen",7
"2022-03-29","杨浦区","screen",3
"2022-03-29","闵行区","screen",20
"2022-03-29","宝山区","screen",30
"2022-03-29","嘉定区","screen",7
"2022-03-29","金山区","screen",2
"2022-03-29","松江区","screen",13
"2022-03-29","奉贤区","screen",1
"2022-03-29","崇明区","screen",1
"2022-03-29","浦东新区","asym",3
"2022-03-29","徐汇区","asym",4
"2022-03-29","静安区","asym",1
"2022-03-29","普陀区","asym",1
"2022-03-29","闵行区","asym",5
"2022-03-29","宝山区","asym",2
"2022-03-29","嘉定区","asym",2
"2022-03-30","浦东新区","isolation",2
"2022-03-30","黄浦区","isolation",3
"2022-03-30","静安区","isolation",1
"2022-03-30","普陀区","isolation",1
"2022-03-30","杨浦区","isolation",1
"2022-03-30","闵行区","isolation",1
"2022-03-30","松江区","isolation",1
"2022-03-30","浦东新区","screen",246
"2022-03-30","黄浦区","screen",13
"2022-03-30","徐汇区","screen",15
"2022-03-30","长宁区","screen",2
"2022-03-30","静安区","screen",7
"2022-03-30","普陀区","screen",3
"2022-03-30","虹口区","screen",1
"2022-03-30","杨浦区","screen",2
"2022-03-30","闵行区","screen",18
"2022-03-30","宝山区","screen",1
"2022-03-30","嘉定区","screen",8
"2022-03-30","松江区","screen",6
"2022-03-30","青浦区","screen",3
"2022-03-30","奉贤区","screen",4
"2022-03-30","浦东新区","asym",1
"2022-03-30","长宁区","asym",6
"2022-03-30","普陀区","asym",2
"2022-03-30","嘉定区","asym",1
"2022-03-30","松江区","asym",1
"2022-03-30","青浦区","asym",2
"2022-03-30","奉贤区","asym",3
"2022-03-31","浦东新区","isolation",5
"2022-03-31","黄浦区","isolation",1
"2022-03-31","徐汇区","isolation",1
"2022-03-31","静安区","isolation",1
"2022-03-31","浦东新区","screen",173
"2022-03-31","黄浦区","screen",5
"2022-03-31","徐汇区","screen",17
"2022-03-31","长宁区","screen",42
"2022-03-31","静安区","screen",3
"2022-03-31","普陀区","screen",4
"2022-03-31","虹口区","screen",8
"2022-03-31","杨浦区","screen",3
"2022-03-31","闵行区","screen",52
"2022-03-31","宝山区","screen",4
"2022-03-31","嘉定区","screen",6
"2022-03-31","金山区","screen",3
"2022-03-31","松江区","screen",4
"2022-03-31","奉贤区","screen",5
"2022-03-31","崇明区","screen",1
"2022-03-31","浦东新区","asym",2
"2022-03-31","黄浦区","asym",1
"2022-03-31","徐汇区","asym",2
"2022-03-31","长宁区","asym",1
"2022-03-31","普陀区","asym",2
"2022-03-31","杨浦区","asym",2
"2022-03-31","闵行区","asym",7
"2022-03-31","嘉定区","asym",1
"2022-03-31","松江区","asym",1
"2022-03-31","青浦区","asym",1
"2022-04-01","浦东新区","isolation",2
"2022-04-01","徐汇区","isolation",2
"2022-04-01","普陀区","isolation",2
"2022-04-01","嘉定区","isolation",2
"2022-04-01","浦东新区","screen",77
"2022-04-01","黄浦区","screen",5
"2022-04-01","徐汇区","screen",35
"2022-04-01","静安区","screen",11
"2022-04-01","普陀区","screen",11
"2022-04-01","虹口区","screen",3
"2022-04-01","杨浦区","screen",10
"2022-04-01","闵行区","screen",57
"2022-04-01","宝山区","screen",9
"2022-04-01","嘉定区","screen",7
"2022-04-01","金山区","screen",3
"2022-04-01","松江区","screen",19
"2022-04-01","奉贤区","screen",2
"2022-04-01","崇明区","screen",1
"2022-04-01","杨浦区","asym",1
"2022-04-01","宝山区","asym",1
"2022-04-02","浦东新区","isolation",4
"2022-04-02","黄浦区","isolation",3
"2022-04-02","徐汇区","isolation",2
"2022-04-02","虹口区","isolation",1
"2022-04-02","宝山区","isolation",1
"2022-04-02","嘉定区","isolation",3
"2022-04-02","松江区","isolation",1
"2022-04-02","奉贤区","isolation",1
"2022-04-02","浦东新区","screen",95
"2022-04-02","黄浦区","screen",21
"2022-04-02","徐汇区","screen",35
"2022-04-02","长宁区","screen",3
"2022-04-02","静安区","screen",24
"2022-04-02","普陀区","screen",35
"2022-04-02","虹口区","screen",24
"2022-04-02","杨浦区","screen",16
"2022-04-02","闵行区","screen",39
"2022-04-02","宝山区","screen",28
"2022-04-02","嘉定区","screen",18
"2022-04-02","松江区","screen",3
"2022-04-02","青浦区","screen",3
"2022-04-02","奉贤区","screen",5
"2022-04-02","浦东新区","asym",9
"2022-04-02","黄浦区","asym",3
"2022-04-02","徐汇区","asym",7
"2022-04-02","长宁区","asym",4
"2022-04-02","静安区","asym",2
"2022-04-02","普陀区","asym",4
"2022-04-02","虹口区","asym",5
"2022-04-02","杨浦区","asym",3
"2022-04-02","闵行区","asym",16
"2022-04-02","宝山区","asym",6
"2022-04-02","嘉定区","asym",5
"2022-04-02","松江区","asym",4
"2022-04-02","奉贤区","asym",2
"2022-04-02","崇明区","asym",3
"2022-04-03","浦东新区","isolation",3
"2022-04-03","黄浦区","isolation",1
"2022-04-03","长宁区","isolation",1
"2022-04-03","静安区","isolation",1
"2022-04-03","宝山区","isolation",1
"2022-04-03","浦东新区","screen",126
"2022-04-03","黄浦区","screen",10
"2022-04-03","徐汇区","screen",27
"2022-04-03","长宁区","screen",13
"2022-04-03","静安区","screen",25
"2022-04-03","普陀区","screen",21
"2022-04-03","虹口区","screen",9
"2022-04-03","杨浦区","screen",29
"2022-04-03","闵行区","screen",46
"2022-04-03","宝山区","screen",22
"2022-04-03","嘉定区","screen",9
"2022-04-03","金山区","screen",4
"2022-04-03","青浦区","screen",2
"2022-04-03","奉贤区","screen",3
"2022-04-03","崇明区","screen",1
"2022-04-03","浦东新区","asym",11
"2022-04-03","黄浦区","asym",3
"2022-04-03","徐汇区","asym",7
"2022-04-03","静安区","asym",3
"2022-04-03","虹口区","asym",2
"2022-04-03","杨浦区","asym",1
"2022-04-03","闵行区","asym",22
"2022-04-03","宝山区","asym",9
"2022-04-03","嘉定区","asym",5
"2022-04-03","松江区","asym",6
"2022-04-03","青浦区","asym",1
"2022-04-03","奉贤区","asym",1
"2022-04-04","浦东新区","isolation",6
"2022-04-04","黄浦区","isolation",1
"2022-04-04","普陀区","isolation",1
"2022-04-04","虹口区","isolation",2
"2022-04-04","杨浦区","isolation",1
"2022-04-04","闵行区","isolation",1
"2022-04-04","嘉定区","isolation",1
"2022-04-04","松江区","isolation",1
"2022-04-04","浦东新区","screen",197
"2022-04-04","黄浦区","screen",7
"2022-04-04","徐汇区","screen",8
"2022-04-04","长宁区","screen",1
"2022-04-04","静安区","screen",1
"2022-04-04","普陀区","screen",3
"2022-04-04","虹口区","screen",3
"2022-04-04","杨浦区","screen",9
"2022-04-04","闵行区","screen",8
"2022-04-04","宝山区","screen",1
"2022-04-04","嘉定区","screen",3
"2022-04-04","金山区","screen",1
"2022-04-04","松江区","screen",5
"2022-04-04","青浦区","screen",1
"2022-04-04","奉贤区","screen",2
"2022-04-04","浦东新区","asym",2
"2022-04-04","闵行区","asym",2
"2022-04-05","浦东新区","isolation",1
"2022-04-05","徐汇区","isolation",1
"2022-04-05","宝山区","isolation",1
"2022-04-05","松江区","isolation",1
"2022-04-05","浦东新区","screen",155
"2022-04-05","黄浦区","screen",13
"2022-04-05","徐汇区","screen",19
"2022-04-05","长宁区","screen",5
"2022-04-05","静安区","screen",11
"2022-04-05","普陀区","screen",6
"2022-04-05","虹口区","screen",7
"2022-04-05","杨浦区","screen",10
"2022-04-05","闵行区","screen",14
"2022-04-05","宝山区","screen",5
"2022-04-05","嘉定区","screen",5
"2022-04-05","金山区","screen",1
"2022-04-05","松江区","screen",8
"2022-04-05","青浦区","screen",6
"2022-04-05","奉贤区","screen",2
"2022-04-05","浦东新区","asym",6
"2022-04-05","黄浦区","asym",3
"2022-04-05","徐汇区","asym",3
"2022-04-05","长宁区","asym",1
"2022-04-05","静安区","asym",1
"2022-04-05","普陀区","asym",1
"2022-04-05","虹口区","asym",1
"2022-04-05","杨浦区","asym",1
"2022-04-05","闵行区","asym",9
"2022-04-05","宝山区","asym",1
"2022-04-05","嘉定区","asym",6
"2022-04-05","松江区","asym",5
"2022-04-05","崇明区","asym",2
