"date","district","group","n"
"2022-05-13","浦东新区","isolation",172
"2022-05-13","黄浦区","isolation",219
"2022-05-13","徐汇区","isolation",82
"2022-05-13","长宁区","isolation",37
"2022-05-13","静安区","isolation",150
"2022-05-13","普陀区","isolation",24
"2022-05-13","虹口区","isolation",74
"2022-05-13","杨浦区","isolation",397
"2022-05-13","闵行区","isolation",117
"2022-05-13","宝山区","isolation",145
"2022-05-13","嘉定区","isolation",37
"2022-05-13","金山区","isolation",7
"2022-05-13","松江区","isolation",8
"2022-05-13","青浦区","isolation",15
"2022-05-13","崇明区","isolation",2
"2022-05-13","崇明区","screen",1
