"date","district","group","n"
2022-03-26,"徐汇区","isolation",1
2022-03-26,"静安区","isolation",1
2022-03-26,"虹口区","isolation",1
2022-03-26,"杨浦区","isolation",1
2022-03-26,"闵行区","isolation",14
2022-03-26,"宝山区","isolation",1
2022-03-26,"嘉定区","isolation",8
2022-03-26,"浦东新区","screen",1
2022-03-26,"徐汇区","screen",4
2022-03-26,"长宁区","screen",2
2022-03-26,"静安区","screen",2
2022-03-26,"普陀区","screen",1
2022-03-26,"杨浦区","screen",1
2022-03-26,"闵行区","screen",1
2022-03-26,"宝山区","screen",5
2022-03-26,"嘉定区","screen",1
