"date","district","case_isolation","case_screen","case_asym","asym_isolation","asym_screen","case","asym","pos","pos_real","cum_case_isolation","cum_case_screen","cum_case_asym","cum_case","cum_asym_isolation","cum_asym_screen","cum_asym","cum_pos","cum_pos_real"
"2022-03-09","宝山区",0,0,0,2,0,0,2,2,2,0,0,0,0,2,0,2,2,2
"2022-03-10","宝山区",0,0,0,10,0,0,10,10,10,0,0,0,0,12,0,12,12,12
"2022-03-11","宝山区",1,1,0,6,1,2,7,9,9,1,1,0,2,18,1,19,21,21
"2022-03-12","宝山区",0,0,0,3,0,0,3,3,3,1,1,0,2,21,1,22,24,24
"2022-03-13","宝山区",0,0,0,3,0,0,3,3,3,1,1,0,2,24,1,25,27,27
"2022-03-14","宝山区",0,0,0,1,1,0,2,2,2,1,1,0,2,25,2,27,29,29
"2022-03-15","宝山区",0,0,0,7,4,0,11,11,11,1,1,0,2,32,6,38,40,40
"2022-03-16","宝山区",0,0,0,7,3,0,10,10,10,1,1,0,2,39,9,48,50,50
"2022-03-17","宝山区",0,5,0,2,7,5,9,14,14,1,6,0,7,41,16,57,64,64
"2022-03-18","宝山区",1,0,0,17,9,1,26,27,27,2,6,0,8,58,25,83,91,91
"2022-03-19","宝山区",1,0,0,13,3,1,16,17,17,3,6,0,9,71,28,99,108,108
"2022-03-20","宝山区",0,0,0,11,2,0,13,13,13,3,6,0,9,82,30,112,121,121
"2022-03-21","宝山区",0,0,0,61,6,0,67,67,67,3,6,0,9,143,36,179,188,188
"2022-03-22","宝山区",0,0,0,11,5,0,16,16,16,3,6,0,9,154,41,195,204,204
"2022-03-23","宝山区",0,0,0,52,17,0,69,69,69,3,6,0,9,206,58,264,273,273
"2022-03-24","宝山区",0,3,0,83,1,3,84,87,87,3,9,0,12,289,59,348,360,360
"2022-03-25","宝山区",0,0,0,3,1,0,4,4,4,3,9,0,12,292,60,352,364,364
"2022-03-26","宝山区",1,5,0,128,19,6,147,153,153,4,14,0,18,420,79,499,517,517
"2022-03-27","宝山区",0,5,0,74,15,5,89,94,94,4,19,0,23,494,94,588,611,611
"2022-03-28","宝山区",1,7,0,291,12,8,303,311,311,5,26,0,31,785,106,891,922,922
"2022-03-29","宝山区",1,30,2,270,60,33,330,363,361,6,56,2,64,1055,166,1221,1285,1283
"2022-03-30","宝山区",0,1,0,485,18,1,503,504,504,6,57,2,65,1540,184,1724,1789,1787
"2022-03-31","宝山区",0,4,0,5,8,4,13,17,17,6,61,2,69,1545,192,1737,1806,1804
"2022-04-01","宝山区",0,9,1,16,19,10,35,45,44,6,70,3,79,1561,211,1772,1851,1848
"2022-04-02","宝山区",1,28,6,396,54,35,450,485,479,7,98,9,114,1957,265,2222,2336,2327
"2022-04-03","宝山区",1,22,9,371,64,32,435,467,458,8,120,18,146,2328,329,2657,2803,2785
"2022-04-04","宝山区",0,1,0,262,2,1,264,265,265,8,121,18,147,2590,331,2921,3068,3050
"2022-04-05","宝山区",1,5,1,533,14,7,547,554,553,9,126,19,154,3123,345,3468,3622,3603
"2022-04-06","宝山区",0,9,0,634,17,9,651,660,660,9,135,19,163,3757,362,4119,4282,4263
"2022-04-07","宝山区",0,4,5,401,4,9,405,414,409,9,139,24,172,4158,366,4524,4696,4672
"2022-04-08","宝山区",1,6,22,2777,15,29,2792,2821,2799,10,145,46,201,6935,381,7316,7517,7471
"2022-04-09","宝山区",2,23,11,2211,14,36,2225,2261,2250,12,168,57,237,9146,395,9541,9778,9721
"2022-04-10","宝山区",3,16,2,1804,14,21,1818,1839,1837,15,184,59,258,10950,409,11359,11617,11558
"2022-04-11","宝山区",0,3,44,968,9,47,977,1024,980,15,187,103,305,11918,418,12336,12641,12538
"2022-04-12","宝山区",2,14,0,265,14,16,279,295,295,17,201,103,321,12183,432,12615,12936,12833
"2022-04-13","宝山区",1,11,1,632,6,13,638,651,650,18,212,104,334,12815,438,13253,13587,13483
"2022-04-14","宝山区",29,19,2,366,1,50,367,417,415,47,231,106,384,13181,439,13620,14004,13898
"2022-04-15","宝山区",18,3,53,1248,1,74,1249,1323,1270,65,234,159,458,14429,440,14869,15327,15168
"2022-04-16","宝山区",40,7,4,1235,7,51,1242,1293,1289,105,241,163,509,15664,447,16111,16620,16457
"2022-04-17","宝山区",70,7,8,1361,4,85,1365,1450,1442,175,248,171,594,17025,451,17476,18070,17899
"2022-04-18","宝山区",94,9,100,823,4,203,827,1030,930,269,257,271,797,17848,455,18303,19100,18829
"2022-04-19","宝山区",35,4,2,916,0,41,916,957,955,304,261,273,838,18764,455,19219,20057,19784
"2022-04-20","宝山区",76,20,11,718,8,107,726,833,822,380,281,284,945,19482,463,19945,20890,20606
"2022-04-21","宝山区",123,10,3,839,3,136,842,978,975,503,291,287,1081,20321,466,20787,21868,21581
"2022-04-22","宝山区",116,6,57,1836,18,179,1854,2033,1976,619,297,344,1260,22157,484,22641,23901,23557
"2022-04-23","宝山区",126,7,2,2721,30,135,2751,2886,2884,745,304,346,1395,24878,514,25392,26787,26441
"2022-04-24","宝山区",123,2,10,2356,15,135,2371,2506,2496,868,306,356,1530,27234,529,27763,29293,28937
"2022-04-25","宝山区",140,11,65,1546,24,216,1570,1786,1721,1008,317,421,1746,28780,553,29333,31079,30658
"2022-04-26","宝山区",19,1,275,1658,23,295,1681,1976,1701,1027,318,696,2041,30438,576,31014,33055,32359
"2022-04-27","宝山区",19,0,33,1045,18,52,1063,1115,1082,1046,318,729,2093,31483,594,32077,34170,33441
"2022-04-28","宝山区",16,0,261,945,21,277,966,1243,982,1062,318,990,2370,32428,615,33043,35413,34423
"2022-04-29","宝山区",26,0,104,1067,0,130,1067,1197,1093,1088,318,1094,2500,33495,615,34110,36610,35516
"2022-04-30","宝山区",24,0,88,1021,0,112,1021,1133,1045,1112,318,1182,2612,34516,615,35131,37743,36561
"2022-05-01","宝山区",21,0,73,878,11,94,889,983,910,1133,318,1255,2706,35394,626,36020,38726,37471
"2022-05-02","宝山区",17,2,14,591,12,33,603,636,622,1150,320,1269,2739,35985,638,36623,39362,38093
"2022-05-03","宝山区",16,0,18,580,6,34,586,620,602,1166,320,1287,2773,36565,644,37209,39982,38695
"2022-05-04","宝山区",5,0,14,436,4,19,440,459,445,1171,320,1301,2792,37001,648,37649,40441,39140
"2022-05-05","宝山区",8,0,11,479,2,19,481,500,489,1179,320,1312,2811,37480,650,38130,40941,39629
"2022-05-06","宝山区",3,0,18,479,2,21,481,502,484,1182,320,1330,2832,37959,652,38611,41443,40113
"2022-05-07","宝山区",13,0,20,312,0,33,312,345,325,1195,320,1350,2865,38271,652,38923,41788,40438
"2022-05-08","宝山区",8,0,17,307,0,25,307,332,315,1203,320,1367,2890,38578,652,39230,42120,40753
"2022-05-09","宝山区",7,0,18,137,0,25,137,162,144,1210,320,1385,2915,38715,652,39367,42282,40897
"2022-05-10","宝山区",1,0,10,131,0,11,131,142,132,1211,320,1395,2926,38846,652,39498,42424,41029
"2022-05-11","宝山区",7,0,4,118,0,11,118,129,125,1218,320,1399,2937,38964,652,39616,42553,41154
"2022-05-12","宝山区",7,0,12,155,0,19,155,174,162,1225,320,1411,2956,39119,652,39771,42727,41316
"2022-05-13","宝山区",7,0,2,145,0,9,145,154,152,1232,320,1413,2965,39264,652,39916,42881,41468
"2022-05-14","宝山区",8,0,11,98,0,19,98,117,106,1240,320,1424,2984,39362,652,40014,42998,41574
"2022-05-15","宝山区",2,0,3,78,0,5,78,83,80,1242,320,1427,2989,39440,652,40092,43081,41654
"2022-05-16","宝山区",5,0,2,71,0,7,71,78,76,1247,320,1429,2996,39511,652,40163,43159,41730
"2022-05-17","宝山区",7,0,2,64,0,9,64,73,71,1254,320,1431,3005,39575,652,40227,43232,41801
"2022-05-18","宝山区",2,0,0,43,0,2,43,45,45,1256,320,1431,3007,39618,652,40270,43277,41846
"2022-05-19","宝山区",2,0,9,38,0,11,38,49,40,1258,320,1440,3018,39656,652,40308,43326,41886
"2022-05-20","宝山区",0,0,2,34,0,2,34,36,34,1258,320,1442,3020,39690,652,40342,43362,41920
"2022-05-21","宝山区",3,0,0,31,0,3,31,34,34,1261,320,1442,3023,39721,652,40373,43396,41954
"2022-05-22","宝山区",5,0,1,28,0,6,28,34,33,1266,320,1443,3029,39749,652,40401,43430,41987
"2022-05-23","宝山区",3,0,3,25,0,6,25,31,28,1269,320,1446,3035,39774,652,40426,43461,42015
"2022-05-24","宝山区",2,0,1,18,0,3,18,21,20,1271,320,1447,3038,39792,652,40444,43482,42035
"2022-05-25","宝山区",4,0,5,19,0,9,19,28,23,1275,320,1452,3047,39811,652,40463,43510,42058
"2022-05-26","宝山区",0,0,3,15,0,3,15,18,15,1275,320,1455,3050,39826,652,40478,43528,42073
"2022-05-27","宝山区",3,0,3,6,0,6,6,12,9,1278,320,1458,3056,39832,652,40484,43540,42082
"2022-05-28","宝山区",5,0,1,5,0,6,5,11,10,1283,320,1459,3062,39837,652,40489,43551,42092
"2022-05-29","宝山区",0,0,0,5,0,0,5,5,5,1283,320,1459,3062,39842,652,40494,43556,42097
"2022-05-30","宝山区",0,0,0,0,0,0,0,0,0,1283,320,1459,3062,39842,652,40494,43556,42097
"2022-05-31","宝山区",0,0,0,0,0,0,0,0,0,1283,320,1459,3062,39842,652,40494,43556,42097
"2022-06-01","宝山区",0,0,0,0,0,0,0,0,0,1283,320,1459,3062,39842,652,40494,43556,42097
"2022-06-02","宝山区",0,0,0,0,0,0,0,0,0,1283,320,1459,3062,39842,652,40494,43556,42097
"2022-06-03","宝山区",0,0,0,0,1,0,1,1,1,1283,320,1459,3062,39842,653,40495,43557,42098
"2022-06-04","宝山区",0,0,0,5,0,0,5,5,5,1283,320,1459,3062,39847,653,40500,43562,42103
